time, Fahrenheit,humidity,moisture,temperature, solenoid_valve
2021-2-4-0:57,78,58,26,25,ON
2021-2-4-0:58,78,58,26,25,ON
2021-2-4-0:59,78,58,26,25,ON
2021-2-4-10:0,79.34,52,36.07038,26.3,OFF
2021-2-4-10:10,79.52,51,34.79961,26.4,ON
2021-2-4-10:11,79.52,51,34.89736,26.4,ON
2021-2-4-10:12,79.52,51,35.09286,26.4,OFF
2021-2-4-10:13,79.52,51,35.48387,26.4,OFF
2021-2-4-10:14,79.52,51,34.99511,26.4,OFF
2021-2-4-10:15,79.52,51,35.28837,26.4,OFF
2021-2-4-10:16,79.34,52,35.09286,26.3,OFF
2021-2-4-10:17,79.34,51,34.79961,26.3,ON
2021-2-4-10:18,79.52,51,34.79961,26.4,ON
2021-2-4-10:19,79.52,51,35.38612,26.4,OFF
2021-2-4-10:1,79.16,52,35.67937,26.2,OFF
2021-2-4-10:20,79.52,51,35.09286,26.4,ON
2021-2-4-10:21,79.52,50,35.19062,26.4,OFF
2021-2-4-10:22,79.52,50,34.79961,26.4,ON
2021-2-4-10:23,79.52,50,34.89736,26.4,ON
2021-2-4-10:24,79.52,50,35.97263,26.4,OFF
2021-2-4-10:25,79.52,50,35.97263,26.4,OFF
2021-2-4-10:26,79.52,50,35.38612,26.4,OFF
2021-2-4-10:27,79.52,50,35.87488,26.4,OFF
2021-2-4-10:28,79.52,50,36.16813,26.4,OFF
2021-2-4-10:29,79.34,50,35.67937,26.3,OFF
2021-2-4-10:2,79.16,52,35.67937,26.2,ON
2021-2-4-10:30,79.52,50,36.07038,26.4,OFF
2021-2-4-10:31,79.52,50,35.87488,26.4,OFF
2021-2-4-10:32,79.52,50,35.38612,26.4,OFF
2021-2-4-10:33,79.34,50,35.19062,26.3,OFF
2021-2-4-10:34,79.34,50,35.19062,26.3,OFF
2021-2-4-10:35,79.34,50,34.99511,26.3,ON
2021-2-4-10:36,79.52,51,35.38612,26.4,OFF
2021-2-4-10:37,79.34,51,35.38612,26.3,OFF
2021-2-4-10:38,79.34,51,35.77713,26.3,OFF
2021-2-4-10:39,79.52,51,35.77713,26.4,OFF
2021-2-4-10:3,79.16,52,35.77713,26.2,ON
2021-2-4-10:40,79.52,51,35.97263,26.4,OFF
2021-2-4-10:41,79.52,51,36.36364,26.4,OFF
2021-2-4-10:42,79.52,51,35.87488,26.4,OFF
2021-2-4-10:43,79.52,51,36.55914,26.4,OFF
2021-2-4-10:44,79.52,51,36.65689,26.4,OFF
2021-2-4-10:45,79.52,51,37.14565,26.4,OFF
2021-2-4-10:46,79.52,51,36.07038,26.4,OFF
2021-2-4-10:47,79.52,51,35.67937,26.4,OFF
2021-2-4-10:48,79.52,51,34.99511,26.4,ON
2021-2-4-10:49,79.52,51,34.89736,26.4,OFF
2021-2-4-10:4,79.34,52,35.19062,26.3,OFF
2021-2-4-10:50,79.52,51,35.28837,26.4,OFF
2021-2-4-10:51,79.52,51,35.19062,26.4,OFF
2021-2-4-10:52,79.7,51,35.09286,26.5,OFF
2021-2-4-10:53,79.52,50,34.89736,26.4,ON
2021-2-4-10:54,79.52,51,35.09286,26.4,ON
2021-2-4-10:55,79.7,51,36.65689,26.5,OFF
2021-2-4-10:56,80.06,50,35.97263,26.7,OFF
2021-2-4-10:57,79.7,51,35.77713,26.5,ON
2021-2-4-10:58,79.52,50,34.31085,26.4,ON
2021-2-4-10:59,79.7,51,34.31085,26.5,ON
2021-2-4-10:5,79.34,51,34.99511,26.3,ON
2021-2-4-10:6,79.52,51,35.19062,26.4,OFF
2021-2-4-10:7,79.52,51,35.77713,26.4,OFF
2021-2-4-10:8,79.52,51,35.38612,26.4,OFF
2021-2-4-10:9,79.52,51,34.89736,26.4,OFF
2021-2-4-11:0,79.52,51,34.2131,26.4,ON
2021-2-4-11:10,79.7,51,35.38612,26.5,OFF
2021-2-4-11:11,79.7,50,35.67937,26.5,OFF
2021-2-4-11:12,79.7,50,35.97263,26.5,OFF
2021-2-4-11:13,79.7,50,36.16813,26.5,OFF
2021-2-4-11:14,79.7,50,35.87488,26.5,OFF
2021-2-4-11:15,79.88,50,35.67937,26.6,OFF
2021-2-4-11:16,79.88,50,35.19062,26.6,OFF
2021-2-4-11:17,79.7,55,34.70186,26.5,ON
2021-2-4-11:18,79.88,55,34.99511,26.6,OFF
2021-2-4-11:19,79.88,50,35.19062,26.6,OFF
2021-2-4-11:1,79.7,51,34.2131,26.5,OFF
2021-2-4-11:20,79.88,49,35.28837,26.6,OFF
2021-2-4-11:21,79.88,54,35.28837,26.6,OFF
2021-2-4-11:22,79.88,49,34.99511,26.6,ON
2021-2-4-11:23,79.88,49,34.60411,26.6,ON
2021-2-4-11:24,79.88,55,34.70186,26.6,ON
2021-2-4-11:25,79.7,55,34.79961,26.5,ON
2021-2-4-11:26,79.7,55,35.67937,26.5,ON
2021-2-4-11:27,79.7,55,34.99511,26.5,ON
2021-2-4-11:2,79.7,56,36.16813,26.5,OFF
2021-2-4-11:3,79.7,51,35.67937,26.5,OFF
2021-2-4-11:49,77.54,51,37.73216,25.3,OFF
2021-2-4-11:4,79.7,50,36.07038,26.5,OFF
2021-2-4-11:50,77.54,51,39.00293,25.3,OFF
2021-2-4-11:51,77.9,51,39.8827,25.5,OFF
2021-2-4-11:52,77.9,51,40.76246,25.5,OFF
2021-2-4-11:53,78.08,50,41.34897,25.6,OFF
2021-2-4-11:54,78.08,50,41.54448,25.6,OFF
2021-2-4-11:55,78.26,54,40.66471,25.7,OFF
2021-2-4-11:56,78.44,49,39.58944,25.8,OFF
2021-2-4-11:57,78.44,55,38.80743,25.8,OFF
2021-2-4-11:58,78.44,49,38.90518,25.8,OFF
2021-2-4-11:59,78.44,50,38.02542,25.8,OFF
2021-2-4-11:5,79.7,51,35.38612,26.5,OFF
2021-2-4-11:6,79.7,51,34.99511,26.5,ON
2021-2-4-11:7,79.7,51,35.19062,26.5,OFF
2021-2-4-11:8,79.7,51,35.28837,26.5,OFF
2021-2-4-11:9,79.7,51,35.77713,26.5,OFF
2021-2-4-12:0,78.62,50,38.22092,25.9,OFF
2021-2-4-12:10,79.16,55,36.95015,26.2,OFF
2021-2-4-12:11,79.34,54,36.55914,26.3,OFF
